,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%)
163,333.47,29.8,22.9,2.0140000000000002,1.5519999999999998,2.8280000000000003,45.1
164,344.95,30.9,23.6,1.98,1.5119999999999998,2.782,45.7
165,354.12,35.9,26.4,1.9280000000000002,1.419,2.822,49.7
166,357.38,38.5,27.8,1.893,1.367,2.813,51.4
167,358.6,40.1,28.6,1.8719999999999999,1.3359999999999999,2.802,52.3
168,360.38,37.7,27.4,1.909,1.3869999999999998,2.8310000000000004,51.0
169,362.91,40.5,28.8,1.882,1.339,2.8489999999999998,53.0
170,363.68,37.0,27.0,1.902,1.389,2.785,50.1
171,372.459,36.0,26.5,1.935,1.423,2.845,50.0
172,374.32300000000004,40.3,28.7,1.874,1.3359999999999999,2.8160000000000003,52.6
173,375.727,33.9,25.3,1.962,1.465,2.845,48.5
174,376.811,34.8,25.8,1.9469999999999998,1.445,2.8360000000000003,49.1
175,379.224,31.9,24.2,1.974,1.4969999999999999,2.804,46.6
176,380.101,36.2,26.6,1.92,1.41,2.8089999999999997,49.8
177,381.103,33.1,24.9,1.942,1.459,2.763,47.2
178,384.381,38.2,27.6,1.8559999999999999,1.3430000000000002,2.6919999999999997,50.1
179,387.73,33.4,25.1,2.035,1.525,3.0389999999999997,49.8
180,390.664,31.6,24.0,1.99,1.5119999999999998,2.833,46.6
181,394.46,36.8,26.9,1.9280000000000002,1.409,2.855,50.6
182,396.12,25.5,20.3,2.065,1.645,2.79,41.0
183,397.78,32.6,24.6,1.929,1.455,2.71,46.3
184,402.6,40.9,29.0,1.9669999999999999,1.396,3.158,55.8
185,413.87,33.3,25.0,1.969,1.476,2.843,48.1
186,416.85,34.6,25.7,1.9469999999999998,1.4469999999999998,2.83,48.9
187,423.50300000000004,34.8,25.8,1.9580000000000002,1.453,2.8689999999999998,49.4
188,426.42699999999996,29.7,22.9,2.05,1.581,2.9189999999999996,45.8
189,429.39,30.0,23.1,1.916,1.474,2.595,43.2
190,433.17,32.4,24.5,1.983,1.4980000000000002,2.847,47.4
191,470.15,30.6,23.4,2.029,1.5530000000000002,2.9,46.5
192,479.96,32.3,24.4,1.995,1.508,2.8739999999999997,47.5
193,482.153,31.6,24.0,2.0180000000000002,1.5330000000000001,2.911,47.3
194,484.94599999999997,34.3,25.5,1.935,1.4409999999999998,2.786,48.3
195,487.466,37.5,27.3,1.9380000000000002,1.409,2.911,51.6
196,488.51,40.3,28.7,1.815,1.294,2.636,50.9
197,488.73,48.4,32.6,1.8319999999999999,1.234,2.9619999999999997,58.3
198,499.4,123.8,55.3,1.433,0.64,2.833,77.4
199,546.62,40.4,28.8,1.906,1.357,2.9210000000000003,53.5
200,549.4,66.1,39.8,1.6119999999999999,0.971,2.597,62.6
201,552.86,33.3,25.0,1.82,1.365,2.455,44.4
202,556.25,82.1,45.1,1.577,0.866,2.833,69.4
203,603.67,53.7,35.0,1.7009999999999998,1.1059999999999999,2.639,58.1
204,604.54,40.9,29.0,1.839,1.305,2.7239999999999998,52.1
205,613.83,33.4,25.0,1.896,1.421,2.648,46.3
206,614.23,32.4,24.5,1.901,1.436,2.633,45.5
207,615.65,41.6,29.4,1.784,1.26,2.5810000000000004,51.2
208,617.15,36.7,26.9,1.91,1.3969999999999998,2.8,50.1
209,618.08,55.5,35.7,1.679,1.079,2.6039999999999996,58.5
210,623.61,50.7,33.6,1.703,1.13,2.5639999999999996,55.9
211,625.86,49.6,33.2,1.7309999999999999,1.157,2.634,56.1
212,628.22,52.3,34.4,1.679,1.102,2.523,56.3
213,643.23,42.9,30.0,1.7069999999999999,1.194,2.391,50.1
214,643.47,41.0,29.1,1.827,1.296,2.694,51.9
215,644.66,50.7,33.7,1.6969999999999998,1.126,2.545,55.8
216,652.1,35.0,25.9,1.83,1.355,2.526,46.4
217,655.07,48.0,32.4,1.72,1.162,2.553,54.5
218,657.13,41.5,29.3,1.788,1.263,2.591,51.2
219,659.1,26.6,21.0,1.886,1.49,2.4290000000000003,38.6
220,659.47,41.0,29.1,1.8119999999999998,1.285,2.645,51.4
221,660.18,26.8,21.2,1.8530000000000002,1.4609999999999999,2.367,38.3
222,660.25,64.4,39.2,1.639,0.997,2.675,62.7
223,682.02,41.6,29.4,1.719,1.214,2.398,49.4
224,682.39,45.6,31.3,1.696,1.165,2.418,51.8
225,682.81,46.7,31.8,1.672,1.14,2.372,51.9
226,683.45,50.4,33.5,1.7,1.13,2.5469999999999997,55.6
227,683.88,52.9,34.6,1.696,1.109,2.597,57.3
