,Depth CSF-B (m),NGR total counts (cps)
738,47.04600000000001,37.385999999999996
739,47.04600000000001,48.58
740,47.143,48.755
741,47.24100000000001,50.303000000000004
742,47.338,51.18600000000001
743,47.43600000000001,53.521
744,47.533,52.891000000000005
745,47.631,49.968
746,47.728,43.324
747,47.826,43.861999999999995
748,47.923,46.751999999999995
749,48.021,47.156000000000006
750,48.118,46.776
751,48.216,47.452
752,48.313,42.196000000000005
753,48.411,32.463
754,48.508,30.504
755,48.508,36.059
756,48.605,38.32
757,48.703,37.856
758,48.8,37.181999999999995
759,48.898,30.397
760,48.995,38.257
761,49.093,43.034
762,49.19,47.224
763,49.288000000000004,45.922
764,49.385,38.802
765,49.483000000000004,36.173
766,49.58,47.15
767,49.678000000000004,51.926
768,49.775,53.27
769,49.873000000000005,52.552
770,49.931000000000004,51.406000000000006
771,50.028,48.166000000000004
772,50.126000000000005,50.949
773,50.223,51.718999999999994
774,50.32,51.097
775,50.418,54.026
776,50.515,47.919
777,50.7,26.024
778,50.8,27.771
779,50.9,32.563
780,51.0,37.826
781,51.1,38.818000000000005
782,51.2,41.481
783,51.3,39.361
784,51.4,38.268
785,51.5,34.742
786,51.6,33.586
787,51.7,33.28
788,51.8,34.573
789,51.9,34.449
790,52.0,41.896
791,52.1,52.891000000000005
792,52.2,60.784
793,52.2,59.958999999999996
794,52.3,51.24
795,52.4,49.103
796,52.5,50.398999999999994
797,52.6,48.354
798,52.7,51.361000000000004
799,52.8,46.748000000000005
800,52.9,45.701
801,53.0,47.476000000000006
802,53.1,50.321999999999996
803,53.2,52.696000000000005
804,53.3,53.263000000000005
805,53.4,51.526
806,53.5,48.056000000000004
807,53.6,50.068000000000005
808,53.7,49.826
809,53.7,55.926
810,53.8,50.963
811,53.9,44.263000000000005
812,54.0,46.213
813,54.1,47.691
814,54.2,48.044
815,54.3,50.308
816,54.4,48.531000000000006
817,54.5,43.57899999999999
818,54.6,41.102
819,54.7,37.57
820,54.8,35.836
821,54.9,35.062
822,55.0,38.966
823,55.1,42.099
824,55.2,36.928000000000004
825,55.2,43.224
826,55.3,43.283
827,55.4,42.138999999999996
828,55.5,43.419
829,55.6,45.611000000000004
830,55.7,48.184
831,55.8,46.118
832,55.9,44.92100000000001
833,56.0,41.29600000000001
834,56.1,39.611999999999995
835,56.2,38.033
836,56.3,36.846
837,56.4,37.176
838,56.5,37.512
839,56.6,38.273
840,56.7,38.236
841,56.7,43.82
842,56.8,42.891999999999996
843,56.9,44.846000000000004
844,57.0,46.452
845,57.1,47.943999999999996
846,57.2,51.181000000000004
847,57.3,46.658
848,57.4,44.988
849,57.5,44.729
850,57.6,43.33
851,57.7,44.426
852,57.7,48.288999999999994
853,57.8,45.501999999999995
854,57.9,47.222
855,58.0,48.646
856,58.1,49.301
857,58.2,48.276
858,58.3,41.335
859,60.2,36.815
860,60.3,40.726
861,60.4,42.528999999999996
862,60.5,43.833
863,60.6,43.771
864,60.7,41.556999999999995
865,60.8,40.518
866,60.9,40.524
867,61.0,40.396
868,61.1,39.532
869,61.2,38.42
870,61.3,40.013000000000005
871,61.4,40.816
872,61.5,42.922
873,61.6,45.67100000000001
874,61.7,42.75899999999999
875,61.7,39.986999999999995
876,61.8,43.188
877,61.9,43.861999999999995
878,62.0,44.706
879,62.1,43.257
880,62.2,48.597
881,62.3,46.558
882,62.4,42.201
883,62.5,36.949
884,62.6,37.486
885,62.7,37.29
886,62.8,37.99
887,62.9,38.205999999999996
888,63.0,39.629
889,63.1,41.13
890,63.2,41.178999999999995
891,63.2,51.966
892,63.3,52.65
893,63.4,59.533
894,63.5,59.18899999999999
895,63.6,55.708
896,63.7,53.331
897,63.8,50.898
898,63.9,49.873999999999995
899,64.0,48.202
900,64.1,44.312
901,64.2,41.923
902,64.3,44.526
903,64.4,47.379
904,64.5,49.977
905,64.6,40.961000000000006
906,64.7,34.351
907,64.8,32.86
908,64.9,35.861999999999995
909,65.0,37.563
910,65.1,32.224000000000004
911,65.2,28.994
912,65.3,27.698
913,65.4,32.048
914,65.5,42.288999999999994
915,65.6,52.349
916,65.7,50.513000000000005
917,65.8,51.48
918,65.9,47.532
919,66.0,41.678999999999995
920,66.1,41.256
921,66.2,48.605
922,66.2,48.798
923,66.3,44.958999999999996
924,66.4,34.816
925,66.5,30.201999999999998
926,66.6,31.584
927,66.7,36.321
928,66.8,42.868
929,66.9,43.843999999999994
930,67.0,43.32899999999999
931,67.1,44.732
932,67.2,51.783
933,67.3,52.82
934,67.4,55.711999999999996
935,67.5,55.61600000000001
936,67.6,53.483999999999995
937,67.7,52.406000000000006
938,67.7,50.905
939,67.8,49.773
940,67.9,50.699
941,68.0,51.083
942,68.1,51.303999999999995
943,68.2,54.478
944,68.3,52.568000000000005
945,68.4,48.934
946,68.5,46.482
947,68.6,47.608999999999995
948,68.7,51.483000000000004
949,68.8,53.841
950,68.9,50.505
951,68.9,52.648999999999994
952,69.0,52.536
953,69.1,54.489
954,69.2,52.428999999999995
955,69.3,47.951
956,69.4,46.255
957,69.5,40.556999999999995
958,69.7,39.409
959,69.8,40.817
960,69.9,42.419
961,70.0,46.769
962,70.1,50.051
963,70.2,50.593999999999994
964,70.3,51.568000000000005
965,70.4,51.738
966,70.5,54.492
967,70.6,56.57899999999999
968,70.7,56.83
969,70.8,56.13
970,70.9,55.152
971,71.0,52.906000000000006
972,71.1,51.903
973,71.2,48.809
974,71.2,58.208
975,71.3,54.47
976,71.4,53.986000000000004
977,71.5,49.07899999999999
978,71.6,45.857
979,71.7,46.49100000000001
980,71.8,48.058
981,71.9,50.281000000000006
982,72.0,52.57899999999999
983,72.1,53.038999999999994
984,72.2,51.43
985,72.3,52.29600000000001
986,72.4,51.148999999999994
987,72.5,44.681999999999995
988,72.6,38.235
989,72.7,35.176
990,72.7,43.928999999999995
991,72.8,49.724
992,72.9,53.43899999999999
993,73.0,56.542
