,Depth CSF-B (m),Bulk density (GRA)
772,5.572,1.902
773,5.585,1.483
774,5.587000000000001,1.604
775,5.591,1.5859999999999999
776,5.597,1.5759999999999998
777,5.61,1.485
778,5.612,1.5919999999999999
779,5.615,1.5759999999999998
780,5.621,1.632
781,5.6339999999999995,1.4580000000000002
782,5.6370000000000005,1.534
783,5.641,1.587
784,5.646,1.669
785,5.659,1.494
786,5.662000000000001,1.515
787,5.665,1.588
788,5.671,1.692
789,5.683,1.47
790,5.687,1.541
791,5.691,1.639
792,5.695,1.588
793,5.707999999999999,1.504
794,5.712000000000001,1.6019999999999999
795,5.716,1.66
796,5.72,1.5719999999999998
797,5.732,1.5019999999999998
798,5.736000000000001,1.682
799,5.74,1.705
800,5.744,1.538
801,5.757000000000001,1.472
802,5.761,1.777
803,5.766,1.391
804,5.769,1.5419999999999998
805,5.782,1.383
806,5.7860000000000005,1.554
807,5.79,1.3869999999999998
808,5.794,0.665
809,5.806,1.5019999999999998
810,5.811,1.5419999999999998
811,5.816,1.473
812,5.831,1.5430000000000001
813,5.836,1.574
814,5.841,1.494
815,5.855,1.577
816,5.865,1.4369999999999998
817,5.88,1.597
818,5.891,1.4280000000000002
819,5.905,1.635
820,5.915,1.433
821,5.917999999999999,1.781
822,5.928999999999999,1.645
823,5.941,1.44
824,5.942,1.537
825,5.954,1.611
826,5.965,1.473
827,5.9670000000000005,1.6340000000000001
828,5.973,1.41
829,5.978,1.722
830,5.99,1.49
831,5.9910000000000005,1.764
832,5.997999999999999,1.4769999999999999
833,6.002999999999999,1.7919999999999998
834,6.015,1.5390000000000001
835,6.016,1.805
836,6.023,1.479
837,6.027,1.7480000000000002
838,6.04,1.646
839,6.041,1.8780000000000001
840,6.047999999999999,1.482
841,6.0520000000000005,1.744
842,6.065,1.636
843,6.065,1.758
844,6.0729999999999995,1.501
845,6.077000000000001,1.746
846,6.09,1.7990000000000002
847,6.09,1.693
848,6.098,1.534
849,6.101,1.525
850,6.114,1.8519999999999999
851,6.115,1.4269999999999998
852,6.122000000000001,1.636
853,6.126,1.3969999999999998
854,6.138999999999999,1.8730000000000002
855,6.14,1.382
856,6.147,1.714
857,6.15,1.3840000000000001
858,6.162999999999999,1.7
859,6.165,1.419
860,6.172000000000001,1.541
861,6.175,0.503
862,6.188,1.5930000000000002
863,6.19,1.35
864,6.195,1.426
865,6.197,1.595
866,6.205,1.334
867,6.212999999999999,1.5419999999999998
