,Depth CSF-B (m),Magnetic susceptibility (instr. units)
810,5.815,57.8
811,5.831,40.2
812,5.836,21.6
813,5.84,64.4
814,5.855,40.0
815,5.865,46.6
816,5.88,38.8
817,5.89,34.2
818,5.904,35.4
819,5.915,31.0
820,5.917000000000001,25.0
821,5.928999999999999,33.6
822,5.94,30.2
823,5.942,24.0
824,5.954,32.0
825,5.965,29.8
826,5.9670000000000005,23.6
827,5.973,21.4
828,5.978,29.8
829,5.99,29.0
830,5.9910000000000005,25.6
831,5.997999999999999,26.2
832,6.002999999999999,28.4
833,6.015,28.4
834,6.016,26.0
835,6.023,37.0
836,6.027,27.0
837,6.04,25.4
838,6.04,28.0
839,6.047999999999999,53.0
840,6.0520000000000005,26.6
841,6.065,28.6
842,6.065,24.8
843,6.072,61.0
844,6.077000000000001,27.0
845,6.09,24.4
846,6.09,30.0
847,6.097,59.4
848,6.101,25.4
849,6.114,25.4
850,6.115,29.8
851,6.122000000000001,51.8
852,6.126,24.0
853,6.138999999999999,25.8
854,6.14,28.6
855,6.147,41.2
856,6.15,25.2
857,6.162999999999999,24.4
858,6.165,28.4
859,6.172000000000001,34.0
860,6.175,23.8
861,6.188,22.0
862,6.19,26.6
863,6.195,32.6
864,6.197,31.0
865,6.205,23.0
866,6.212999999999999,21.4
867,6.218999999999999,42.0
868,6.222,29.0
869,6.23,27.2
870,6.237,22.2
871,6.244,44.8
872,6.247000000000001,27.8
873,6.255,29.0
874,6.2620000000000005,21.4
875,6.268,55.0
876,6.271,27.6
877,6.28,29.0
878,6.2860000000000005,18.2
879,6.292999999999999,67.2
880,6.296,27.8
881,6.305,29.2
882,6.317,75.8
883,6.321000000000001,27.6
884,6.33,28.6
885,6.3420000000000005,94.2
886,6.346,25.2
887,6.355,27.6
888,6.367000000000001,94.2
889,6.38,27.0
890,6.391,56.4
891,6.405,27.8
892,6.412999999999999,21.8
893,6.416,41.2
894,6.43,30.4
895,6.438,24.2
896,6.44,46.4
897,6.455,38.4
898,6.462000000000001,24.0
899,6.465,52.2
900,6.476,22.8
901,6.48,49.6
902,6.487,23.8
903,6.49,43.6
904,6.501,25.2
905,6.505,57.0
906,6.511,24.8
907,6.513999999999999,55.0
908,6.526,25.0
909,6.53,48.2
910,6.5360000000000005,26.6
911,6.539,82.0
912,6.55,24.0
913,6.555,45.4
914,6.561,32.4
915,6.563,49.8
916,6.575,23.0
917,6.58,48.4
918,6.585,46.6
919,6.587999999999999,30.0
920,6.6,24.0
921,6.605,51.2
922,6.61,58.2
923,6.612,24.2
924,6.625,28.4
925,6.63,52.4
926,6.6339999999999995,58.2
927,6.6370000000000005,22.6
928,6.65,29.0
929,6.655,55.4
930,6.659,52.0
931,6.662000000000001,22.4
932,6.675,27.0
933,6.68,65.8
934,6.683,41.8
935,6.686,23.2
936,6.699,27.4
937,6.705,84.0
938,6.707999999999999,31.2
939,6.711,21.2
940,6.724,29.2
941,6.73,103.0
942,6.732,29.0
943,6.735,19.6
944,6.749,33.6
945,6.755,96.4
946,6.757000000000001,27.2
947,6.76,17.4
948,6.774,36.8
949,6.78,47.8
950,6.781000000000001,22.2
951,6.785,20.8
952,6.7989999999999995,33.0
953,6.805,32.4
