"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Submethod","Moisture dry (wt%)","Moisture wet (wt%)","Bulk density (g/cm³)","Dry density (g/cm³)","Grain density (g/cm³)","Porosity (vol%)","Void ratio","Container number","Mass wet sample (g)","Mass dried sample (g)","Mass porewater (g)","Mass salt (g)","Mass solids (g)","Vol wet sample (cm³)","Vol dried sample (cm³)","Vol porewater (cm³)","Vol salt (cm³)","Vol solids (cm³)","Timestamp (UTC)","Text ID","Test No.","Sample comments"
"349","U1431","E","30","R","7","W","49.0","833.140","833.140","C","49.8","33.2","1.794","1.197","2.866","58.2","1.394","0","22.352","15.181","7.431","0.260","14.921","12.463","5.323","7.257","0.11716","5.206","2014-02-20 15:02:40","CYL5431611","57828991",""
"349","U1431","E","30","R","8","W","3.0","833.750","833.750","C","55.6","35.7","1.681","1.081","2.614","58.6","1.418","0","23.022","15.087","8.223","0.288","14.799","13.692","5.792","8.030","0.12964","5.662","2014-02-20 15:50:30","CYL5431731","57829061",""
"349","U1431","E","31","R","1","W","46.0","836.560","836.551","C","41.6","29.4","1.786","1.261","2.586","51.2","1.051","0","22.540","16.148","6.624","0.232","15.916","12.623","6.259","6.469","0.10443","6.155","2014-02-19 20:30:52","CYL5431661","57823651",""
"349","U1431","E","31","R","2","W","106.0","837.800","837.768","C","38.3","27.7","1.797","1.299","2.527","48.6","0.945","0","21.618","15.842","5.985","0.209","15.633","12.032","6.281","5.845","0.09437","6.187","2014-02-19 21:01:00","CYL5431741","57823771",""
"349","U1431","E","31","R","3","W","91.0","838.800","838.749","C","38.9","28.0","1.780","1.281","2.495","48.6","0.947","0","22.098","16.129","6.185","0.216","15.913","12.418","6.475","6.041","0.09752","6.377","2014-02-19 21:02:53","CYL5431761","57823781",""
"349","U1431","E","31","R","4","W","87.0","839.750","839.680","C","45.2","31.1","1.808","1.246","2.765","55.0","1.220","0","21.864","15.298","6.804","0.238","15.060","12.091","5.554","6.645","0.10727","5.447","2014-02-19 20:30:59","CYL5431701","57823661",""
"349","U1431","E","31","R","5","W","19.0","840.210","840.131","C","40.0","28.6","1.770","1.264","2.498","49.4","0.977","0","20.679","14.973","5.913","0.207","14.766","11.685","6.004","5.774","0.09322","5.911","2014-02-19 21:08:46","CYL5431711","57823801",""
"349","U1431","E","31","R","6","W","21.0","841.260","841.161","C","50.0","33.3","1.731","1.154","2.645","56.4","1.292","0","21.538","14.607","7.182","0.251","14.356","12.442","5.541","7.014","0.11324","5.428","2014-02-22 19:53:52","CYL5431791","57954041",""
"349","U1431","E","31","R","7","W","47.0","842.910","842.779","C","41.5","29.3","1.781","1.259","2.569","51.0","1.041","0","21.989","15.769","6.446","0.226","15.543","12.344","6.151","6.295","0.10162","6.049","2014-02-20 15:50:36","CYL5431841","57829071",""
"349","U1431","E","31","R","8","W","11.0","843.680","843.535","C","47.7","32.3","1.750","1.185","2.643","55.2","1.230","0","21.607","14.876","6.975","0.244","14.632","12.348","5.646","6.812","0.10997","5.536","2014-02-20 17:27:11","CYL5431951","57829191",""
"349","U1431","E","31","R","9","W","28.0","845.150","844.977","C","47.2","32.1","1.757","1.194","2.653","55.0","1.222","0","22.578","15.594","7.237","0.253","15.341","12.850","5.896","7.068","0.11410","5.782","2014-02-19 21:08:56","CYL5432031","57823811",""
"349","U1431","E","32","R","1","W","39.0","846.190","846.176","C","32.7","24.6","1.841","1.388","2.491","44.3","0.796","0","23.196","17.680","5.716","0.200","17.480","12.598","7.106","5.582","0.09012","7.016","2014-02-20 17:27:05","CYL5431931","57829181",""
"349","U1431","E","32","R","2","W","29.0","847.320","847.267","C","39.6","28.4","1.812","1.298","2.605","50.2","1.007","0","21.814","15.845","6.185","0.216","15.629","12.041","6.098","6.041","0.09752","6.000","2014-02-20 17:26:59","CYL5431911","57829171",""
"349","U1431","E","32","R","3","W","28.0","848.320","848.232","C","33.7","25.2","1.831","1.369","2.495","45.1","0.822","0","23.175","17.532","5.848","0.205","17.327","12.655","7.037","5.711","0.09219","6.945","2014-02-20 17:26:53","CYL5431891","57829161",""
"349","U1431","E","32","R","4","W","7.0","849.490","849.362","C","51.0","33.8","1.701","1.126","2.564","56.1","1.277","0","20.415","13.762","6.894","0.241","13.521","12.005","5.381","6.733","0.10869","5.272","2014-02-20 17:27:17","CYL5431981","57829201",""
"349","U1431","E","32","R","5","W","24.0","850.740","850.568","C","40.2","28.7","1.790","1.277","2.562","50.2","1.007","0","21.904","15.840","6.284","0.220","15.620","12.234","6.196","6.137","0.09907","6.097","2014-02-20 17:27:28","CYL5432101","57829221",""
"349","U1431","E","32","R","6","W","7.0","851.350","851.157","C","42.4","29.8","1.783","1.253","2.600","51.8","1.076","0","21.688","15.460","6.454","0.226","15.234","12.161","5.960","6.303","0.10175","5.858","2014-02-20 17:27:34","CYL5432121","57829231",""
"349","U1431","E","32","R","7","W","103.0","853.200","852.942","C","47.1","32.0","1.704","1.158","2.480","53.3","1.141","0","21.375","14.768","6.847","0.240","14.528","12.545","5.967","6.686","0.10794","5.859","2014-02-20 17:27:41","CYL5432151","57829241",""
"349","U1431","E","32","R","8","W","106.0","854.360","854.062","C","31.8","24.1","1.833","1.391","2.447","43.2","0.760","0","22.147","16.992","5.342","0.187","16.805","12.085","6.952","5.217","0.08422","6.868","2014-02-20 17:27:47","CYL5432191","57829251",""
"349","U1431","E","32","R","9","W","98.0","855.710","855.365","C","32.4","24.5","1.828","1.381","2.453","43.7","0.776","0","21.170","16.170","5.181","0.181","15.989","11.579","6.601","5.060","0.08169","6.519","2014-02-20 17:26:46","CYL5432241","57829151",""
"349","U1431","E","33","R","1","W","76.0","856.260","856.260","C","49.1","32.9","1.750","1.174","2.686","56.3","1.289","0","21.024","14.340","6.926","0.242","14.098","12.012","5.357","6.764","0.10920","5.248","2014-02-20 17:26:40","CYL5431871","57829141",""
