"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Bulk density (GRA)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","5","","23.6","2.236","2.224","1.332","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","26.1","2.261","2.249","1.337","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","28.6","2.286","2.274","1.198","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","31.1","2.311","2.299","1.381","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","33.6","2.336","2.323","1.455","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","36.1","2.361","2.348","1.55","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","5","","38.6","2.386","2.373","1.043","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292951","55236751","","",""
"349","U1431","A","1","H","6","","0.7","2.507","2.494","1.333","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","3.2","2.532","2.518","1.347","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","5.7","2.557","2.543","1.319","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","8.2","2.582","2.568","1.36","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","10.7","2.607","2.593","1.333","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","13.2","2.632","2.618","1.345","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","15.6","2.656","2.642","1.421","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","18.1","2.681","2.667","1.445","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","20.6","2.706","2.692","1.476","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","23.1","2.731","2.717","1.717","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","25.6","2.756","2.742","1.724","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","28.1","2.781","2.767","1.648","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","30.6","2.806","2.792","1.572","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","33.1","2.831","2.816","1.635","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","35.6","2.856","2.841","1.574","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","6","","38.1","2.881","2.866","1.636","2014-02-01 05:20:37","GRA1","WRMSL","SECT5292981","55236741","","",""
"349","U1431","A","1","H","7","","0.8","3.008","2.992","1.313","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","3.3","3.033","3.017","1.339","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","5.8","3.058","3.042","1.351","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","8.3","3.083","3.067","1.36","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","10.8","3.108","3.092","1.394","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","13.3","3.133","3.117","1.409","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","15.8","3.158","3.141","1.443","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","18.3","3.183","3.166","1.428","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","20.8","3.208","3.191","1.44","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","23.3","3.233","3.216","1.413","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","25.8","3.258","3.241","1.45","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","28.3","3.283","3.265","1.442","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","30.8","3.308","3.290","1.606","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","33.3","3.333","3.315","1.611","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","35.8","3.358","3.340","1.692","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","7","","38.3","3.383","3.365","1.723","2014-02-01 05:21:41","GRA1","WRMSL","SECT5293011","55236871","","",""
"349","U1431","A","1","H","8","","0.1","3.501","3.482","1.268","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","2.6","3.526","3.507","1.381","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","5.1","3.551","3.531","1.803","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","7.6","3.576","3.556","1.747","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","10.1","3.601","3.581","1.77","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","12.6","3.626","3.606","1.671","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","15.1","3.651","3.631","1.525","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","17.6","3.676","3.656","1.444","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","20.1","3.701","3.681","1.446","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","22.6","3.726","3.706","1.423","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","25.1","3.751","3.731","1.406","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","27.6","3.776","3.755","1.47","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","30.1","3.801","3.780","1.486","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","32.6","3.826","3.805","1.586","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","35.1","3.851","3.830","1.512","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","8","","37.6","3.876","3.855","1.401","2014-02-01 05:25:31","GRA1","WRMSL","SECT5293041","55236901","","",""
"349","U1431","A","1","H","9","","1.2","4.012","3.991","1.442","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","3.7","4.037","4.016","1.471","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","6.2","4.062","4.041","1.497","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","8.7","4.087","4.066","1.53","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","11.2","4.112","4.091","1.547","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","13.7","4.137","4.115","1.83","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","16.2","4.162","4.140","1.74","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","18.7","4.187","4.165","1.593","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","21.2","4.212","4.190","1.527","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","23.7","4.237","4.215","1.582","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","26.2","4.262","4.239","1.71","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","28.7","4.287","4.264","1.654","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","31.2","4.312","4.289","1.549","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","33.7","4.337","4.314","1.581","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","36.2","4.362","4.339","1.446","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","9","","38.7","4.387","4.364","0.392","2014-02-01 06:01:33","GRA1","WRMSL","SECT5293071","55238571","","",""
"349","U1431","A","1","H","10","","1.6","4.516","4.492","1.236","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","4.1","4.541","4.517","1.522","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","6.6","4.566","4.542","1.7","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","9.1","4.591","4.567","1.536","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","11.6","4.616","4.591","1.535","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","14.1","4.641","4.616","1.804","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","16.6","4.666","4.641","1.688","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","19.1","4.691","4.666","1.775","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","21.6","4.716","4.691","1.761","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","24.1","4.741","4.716","1.81","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","26.6","4.766","4.741","1.818","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","29.1","4.791","4.766","1.795","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","31.6","4.816","4.790","1.761","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","34.1","4.841","4.815","1.693","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","36.6","4.866","4.840","1.834","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","10","","39.1","4.891","4.865","1.027","2014-02-01 06:11:44","GRA1","WRMSL","SECT5293101","55238921","","",""
"349","U1431","A","1","H","11","","1.6","5.016","4.990","1.622","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","4.1","5.041","5.015","1.632","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","6.6","5.066","5.040","1.643","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
"349","U1431","A","1","H","11","","9.1","5.091","5.064","1.673","2014-02-01 06:16:35","GRA1","WRMSL","SECT5293131","55238951","","",""
